Country,Code,Year,Region,Sector,USDmillions
United States,USA,2019,Latin America,Palm oil,1.979795
United States,USA,2019,Latin America,Pulp & paper,1704.321794
United States,USA,2019,Latin America,Rubber,0.446982
United States,USA,2019,Latin America,Timber,48.3325
United States,USA,2019,Latin America,Beef,324.218472
United States,USA,2019,Latin America,Soy,390.965993
United States,USA,2019,Southeast Asia,Palm oil,389.750923
United States,USA,2019,Southeast Asia,Pulp & paper,32.210321
United States,USA,2019,Southeast Asia,Rubber,123.177826
United States,USA,2019,Southeast Asia,Timber,32.210321
United States,USA,2019,Southeast Asia,Beef,NA
United States,USA,2019,Southeast Asia,Soy,1.025302
United Kingdom,GBR,2019,Latin America,Palm oil,1.030166
United Kingdom,GBR,2019,Latin America,Pulp & paper,351.717085
United Kingdom,GBR,2019,Latin America,Rubber,NA
United Kingdom,GBR,2019,Latin America,Timber,28.144025
United Kingdom,GBR,2019,Latin America,Beef,195.347336
United Kingdom,GBR,2019,Latin America,Soy,87.319485
United Kingdom,GBR,2019,Southeast Asia,Palm oil,156.14173
United Kingdom,GBR,2019,Southeast Asia,Pulp & paper,2.662536
United Kingdom,GBR,2019,Southeast Asia,Rubber,31.645101
United Kingdom,GBR,2019,Southeast Asia,Timber,2.662536
United Kingdom,GBR,2019,Southeast Asia,Beef,NA
United Kingdom,GBR,2019,Southeast Asia,Soy,1.267247
Netherlands,NLD,2019,Latin America,Palm oil,0.385285
Netherlands,NLD,2019,Latin America,Pulp & paper,520.830552
Netherlands,NLD,2019,Latin America,Rubber,0.690246
Netherlands,NLD,2019,Latin America,Timber,0.936894
Netherlands,NLD,2019,Latin America,Beef,343.532684
Netherlands,NLD,2019,Latin America,Soy,511.908565
Netherlands,NLD,2019,Southeast Asia,Palm oil,297.74643100000003
Netherlands,NLD,2019,Southeast Asia,Pulp & paper,1.331268
Netherlands,NLD,2019,Southeast Asia,Rubber,11.401995
Netherlands,NLD,2019,Southeast Asia,Timber,1.331268
Netherlands,NLD,2019,Southeast Asia,Beef,NA
Netherlands,NLD,2019,Southeast Asia,Soy,2.144296
Australia,AUS,2019,Latin America,Palm oil,0.141953
Australia,AUS,2019,Latin America,Pulp & paper,NA
Australia,AUS,2019,Latin America,Rubber,NA
Australia,AUS,2019,Latin America,Timber,NA
Australia,AUS,2019,Latin America,Beef,1.176472
Australia,AUS,2019,Latin America,Soy,46.971072
Australia,AUS,2019,Southeast Asia,Palm oil,50.195498
Australia,AUS,2019,Southeast Asia,Pulp & paper,1.331268
Australia,AUS,2019,Southeast Asia,Rubber,18.380735
Australia,AUS,2019,Southeast Asia,Timber,1.331268
Australia,AUS,2019,Southeast Asia,Beef,NA
Australia,AUS,2019,Southeast Asia,Soy,0.888498
France,FRA,2019,Latin America,Palm oil,0.474164
France,FRA,2019,Latin America,Pulp & paper,802.998989
France,FRA,2019,Latin America,Rubber,0.120837
France,FRA,2019,Latin America,Timber,0.037906
France,FRA,2019,Latin America,Beef,54.132186
France,FRA,2019,Latin America,Soy,90.800559
France,FRA,2019,Southeast Asia,Palm oil,100.803168
France,FRA,2019,Southeast Asia,Pulp & paper,7.341895999999999
France,FRA,2019,Southeast Asia,Rubber,168.328782
France,FRA,2019,Southeast Asia,Timber,7.341895999999999
France,FRA,2019,Southeast Asia,Beef,NA
France,FRA,2019,Southeast Asia,Soy,1.734997
Singapore,SGP,2019,Latin America,Palm oil,0.126825
Singapore,SGP,2019,Latin America,Pulp & paper,NA
Singapore,SGP,2019,Latin America,Rubber,NA
Singapore,SGP,2019,Latin America,Timber,NA
Singapore,SGP,2019,Latin America,Beef,1.764708
Singapore,SGP,2019,Latin America,Soy,31.361738
Singapore,SGP,2019,Southeast Asia,Palm oil,804.272569
Singapore,SGP,2019,Southeast Asia,Pulp & paper,50
Singapore,SGP,2019,Southeast Asia,Rubber,15.964656
Singapore,SGP,2019,Southeast Asia,Timber,NA
Singapore,SGP,2019,Southeast Asia,Beef,NA
Singapore,SGP,2019,Southeast Asia,Soy,2.033154
Germany,DEU,2019,Latin America,Palm oil,0.283997
Germany,DEU,2019,Latin America,Pulp & paper,0.6543220000000001
Germany,DEU,2019,Latin America,Rubber,0.044076
Germany,DEU,2019,Latin America,Timber,3.033521
Germany,DEU,2019,Latin America,Beef,5.387782
Germany,DEU,2019,Latin America,Soy,23.113373
Germany,DEU,2019,Southeast Asia,Palm oil,34.736761
Germany,DEU,2019,Southeast Asia,Pulp & paper,1.331268
Germany,DEU,2019,Southeast Asia,Rubber,1.893291
Germany,DEU,2019,Southeast Asia,Timber,1.331268
Germany,DEU,2019,Southeast Asia,Beef,NA
Germany,DEU,2019,Southeast Asia,Soy,0.5937089999999999
Japan,JPN,2019,Latin America,Palm oil,0.758588
Japan,JPN,2019,Latin America,Pulp & paper,1576.894933
Japan,JPN,2019,Latin America,Rubber,9.47e-4
Japan,JPN,2019,Latin America,Timber,56.829282
Japan,JPN,2019,Latin America,Beef,133.987238
Japan,JPN,2019,Latin America,Soy,77.973332
Japan,JPN,2019,Southeast Asia,Palm oil,753.479166
Japan,JPN,2019,Southeast Asia,Pulp & paper,532.805688
Japan,JPN,2019,Southeast Asia,Rubber,147.05061
Japan,JPN,2019,Southeast Asia,Timber,310.89711
Japan,JPN,2019,Southeast Asia,Beef,NA
Japan,JPN,2019,Southeast Asia,Soy,1.2079
Spain,ESP,2019,Latin America,Palm oil,0.44199600000000006
Spain,ESP,2019,Latin America,Pulp & paper,340.669312
Spain,ESP,2019,Latin America,Rubber,3.057546
Spain,ESP,2019,Latin America,Timber,31.618325
Spain,ESP,2019,Latin America,Beef,768.37203
Spain,ESP,2019,Latin America,Soy,492.743991
Spain,ESP,2019,Southeast Asia,Palm oil,83.714675
Spain,ESP,2019,Southeast Asia,Pulp & paper,NA
Spain,ESP,2019,Southeast Asia,Rubber,1.850837
Spain,ESP,2019,Southeast Asia,Timber,NA
Spain,ESP,2019,Southeast Asia,Beef,NA
Spain,ESP,2019,Southeast Asia,Soy,0.396066
Switzerland,CHE,2019,Latin America,Palm oil,0.055874
Switzerland,CHE,2019,Latin America,Pulp & paper,NA
