market,date,com.l,idx.l,ncm.l,nrp.l,tot.l,com.s,idx.s,ncm.s,nrp.s,tot.s,com.n,idx.n,ncm.n,nrp.n,tot.n,delta_com.l,delta_idx.l,delta_ncm.l,delta_nrp.l,delta_tot.l,delta_com.s,delta_idx.s,delta_ncm.s,delta_nrp.s,delta_tot.s,delta_com.n,delta_idx.n,delta_ncm.n,delta_nrp.n,delta_tot.n,share_com.l,share_idx.l,share_ncm.l,share_nrp.l,share_tot.l,share_com.s,share_idx.s,share_ncm.s,share_nrp.s,share_tot.s,traders_com.l,traders_idx.l,traders_ncm.l,traders_nrp.l,traders_tot.l,traders_com.s,traders_idx.s,traders_ncm.s,traders_nrp.s,traders_tot.s,open_int,delta_open_int
Cocoa - Ice Futures U.s.,2018-01-02T00:00:00Z,117842,46103,63897,21619,289420,140374,15794,83087,10206,300833,-22532,30309,-19190,11413,-11413,-1328,2196,891,-806,6858,4072,361,-2695,-785,6837,-5400,1835,3586,-21,21,37.9,14.8,20.5,7,93,45.1,5.1,26.7,3.3,96.7,52,25,112,NA,239,42,7,83,NA,182,311039,6052
Cocoa - Ice Futures U.s.,2018-01-09T00:00:00Z,119778,47770,63299,22833,295984,143239,18088,81246,11107,307709,-23461,29682,-17947,11726,-11725,1936,1667,-598,1214,6564,2865,2294,-1842,902,6876,-929,-627,1244,312,-312,37.6,15,19.9,7.2,92.8,44.9,5.7,25.5,3.5,96.5,50,24,116,NA,232,45,7,75,NA,184,318816,7778
Cocoa - Ice Futures U.s.,2018-01-16T00:00:00Z,117100,50402,65052,20648,300049,140237,20512,82261,10193,310503,-23137,29890,-17209,10455,-10454,-2677,2632,1753,-2185,4065,-3002,2424,1015,-914,2794,325,208,738,-1271,1271,36.5,15.7,20.3,6.4,93.6,43.7,6.4,25.7,3.2,96.8,48,26,110,NA,233,44,9,80,NA,189,320696,1880
Cocoa - Ice Futures U.s.,2018-01-23T00:00:00Z,112244,52333,64323,19351,294986,140620,23466,74390,9776,304561,-28376,28867,-10067,9575,-9575,-4856,1931,-729,-1297,-5063,383,2954,-7871,-417,-5942,-5239,-1023,7142,-880,879,35.7,16.6,20.5,6.2,93.8,44.7,7.5,23.7,3.1,96.9,50,27,109,NA,236,44,10,79,NA,190,314337,-6360
Cocoa - Ice Futures U.s.,2018-01-30T00:00:00Z,112915,56840,64087,19745,305208,146304,30152,66605,10525,314427,-33389,26688,-2518,9220,-9219,671,4507,-237,394,10222,5684,6686,-7785,750,9866,-5013,-2179,7548,-356,356,34.7,17.5,19.7,6.1,93.9,45,9.3,20.5,3.2,96.8,51,27,110,NA,236,44,12,75,NA,192,324953,10616
Cocoa - Ice Futures U.s.,2018-02-06T00:00:00Z,102880,51511,67207,17268,280766,142532,28196,59011,9126,288907,-39652,23315,8196,8142,-8141,-10035,-5329,3121,-2477,-24442,-3772,-1956,-7594,-1399,-25521,-6263,-3373,10715,-1078,1079,34.5,17.3,22.6,5.8,94.2,47.8,9.5,19.8,3.1,96.9,49,26,85,NA,209,44,15,71,NA,180,298033,-26919
Cocoa - Ice Futures U.s.,2018-02-13T00:00:00Z,98340,49912,64343,17090,265028,137910,26308,55838,9629,272489,-39570,23604,8505,7461,-7461,-4540,-1599,-2865,-178,-15738,-4623,-1888,-3173,502,-16418,83,289,308,-680,680,34.9,17.7,22.8,6.1,93.9,48.9,9.3,19.8,3.4,96.6,48,25,79,NA,189,41,10,69,NA,152,282118,-15915
Cocoa - Ice Futures U.s.,2018-02-20T00:00:00Z,100116,49715,67979,16028,278630,148853,25359,50565,9061,285597,-48737,24356,17414,6967,-6967,1775,-197,3637,-1062,13602,10943,-949,-5273,-568,13109,-9168,752,8910,-494,493,34,16.9,23.1,5.4,94.6,50.5,8.6,17.2,3.1,96.9,47,25,84,NA,194,41,11,64,NA,156,294659,12541
Cocoa - Ice Futures U.s.,2018-02-27T00:00:00Z,98198,52424,72038,15750,288781,153714,24995,50182,9518,295013,-55516,27429,21856,6232,-6232,-1918,2708,4059,-278,10151,4861,-364,-383,457,9415,-6779,3072,4442,-735,736,32.2,17.2,23.7,5.2,94.8,50.5,8.2,16.5,3.1,96.9,46,25,94,NA,205,42,12,62,NA,158,304531,9873
Cocoa - Ice Futures U.s.,2018-03-06T00:00:00Z,103852,52879,75778,17095,317609,168229,19577,51771,10026,324678,-64377,33302,24007,7069,-7069,5654,455,3740,1345,28828,14515,-5418,1589,508,29665,-8861,5873,2151,837,-837,31,15.8,22.6,5.1,94.9,50.3,5.8,15.5,3,97,47,26,106,NA,221,44,10,63,NA,162,334704,30173
